-0.809944,-1.230937
-0.809944,-0.251443
-0.809942,-0.250002
-0.809939,-0.248525
-0.809933,-0.247063
-0.809925,-0.245615
-0.809916,-0.244181
-0.809905,-0.242761
-0.809892,-0.241355
-0.809877,-0.239963
-0.809861,-0.238584
-0.809843,-0.237220
-0.809824,-0.235868
-0.809803,-0.234531
-0.809780,-0.233207
-0.809756,-0.231896
-0.809730,-0.230598
-0.809703,-0.229314
-0.809675,-0.228042
-0.809645,-0.226784
-0.809614,-0.225538
-0.809582,-0.224305
-0.809549,-0.223086
-0.809514,-0.221878
-0.809478,-0.220683
-0.809441,-0.219501
-0.809402,-0.218331
-0.809363,-0.217173
-0.809322,-0.216028
-0.809281,-0.214895
-0.809238,-0.213773
-0.809194,-0.212664
-0.809150,-0.211566
-0.809104,-0.210480
-0.809058,-0.209406
-0.809010,-0.208343
-0.808962,-0.207292
-0.808913,-0.206252
-0.808863,-0.205224
-0.808813,-0.204206
-0.808761,-0.203200
-0.808709,-0.202205
-0.808656,-0.201221
-0.808602,-0.200247
-0.808548,-0.199284
-0.808493,-0.198332
-0.808438,-0.197391
-0.808381,-0.196459
-0.808325,-0.195539
-0.808267,-0.194628
-0.808209,-0.193728
-0.808151,-0.192837
-0.808092,-0.191957
-0.808033,-0.191087
-0.807973,-0.190226
-0.807913,-0.189375
-0.807852,-0.188534
-0.807791,-0.187702
-0.807729,-0.186880
-0.807667,-0.186067
-0.807605,-0.185263
-0.807542,-0.184468
-0.807479,-0.183682
-0.807416,-0.182906
-0.807353,-0.182138
-0.807289,-0.181378
-0.807225,-0.180628
-0.807160,-0.179886
-0.807096,-0.179152
-0.807031,-0.178427
-0.806966,-0.177710
-0.806901,-0.177001
-0.806836,-0.176301
-0.806770,-0.175608
-0.806704,-0.174923
-0.806638,-0.174246
-0.806572,-0.173576
-0.806506,-0.172914
-0.806440,-0.172260
-0.806374,-0.171612
-0.806307,-0.170973
-0.806241,-0.170340
-0.806174,-0.169714
-0.806107,-0.169096
-0.806041,-0.168484
-0.805974,-0.167879
-0.805907,-0.167280
-0.805840,-0.166689
-0.805773,-0.166103
